org_name,org_website,org_type,source_link,source_type,access_status,opportunity_types_offered,geographic_focus,mediums_supported,estimated_opp_count,priority,notes,date_extracted
Kosudo ART Project,https://kosudoart.com,Residency program,https://air-j.info/en/residence/,A,open,residencies,Japan,Not specified,unknown,,listing_url=https://air-j.info/en/residence/kosudoartproject_en/,2026-01-19 00:00:00
AiR @7artscafe,"https://www.7artscafe.co.jp/eiaf/<br />
",Residency program,https://air-j.info/en/residence/,A,open,residencies,Japan,Not specified,unknown,,listing_url=https://air-j.info/en/residence/air-7artscafe/,2026-01-19 00:00:00
Center / Alternative Space & Hostel,"https://center-kanuma.net<br />
",Residency program,https://air-j.info/en/residence/,A,open,residencies,Japan,Not specified,unknown,,listing_url=https://air-j.info/en/residence/center_alternative_space_hostel_en/,2026-01-19 00:00:00
Bridge Studio,"https://www.brdg.to/<br />
",Residency program,https://air-j.info/en/residence/,A,open,residencies,Japan,Not specified,unknown,,listing_url=https://air-j.info/en/residence/bridge-studio/,2026-01-19 00:00:00
Sado Island Artist in Residence,https://sia-promotion.org/,Residency program,https://air-j.info/en/residence/,A,open,residencies,Japan,Not specified,unknown,,listing_url=https://air-j.info/en/residence/sado-island-artist-in-residence/,2026-01-19 00:00:00
General incorporated association L-A・I・R,https://l-air.or.jp,Residency program,https://air-j.info/en/residence/,A,open,residencies,Japan,Not specified,unknown,,listing_url=https://air-j.info/en/residence/general-incorporated-association-l-air/,2026-01-19 00:00:00
AIR@EU,https://www.kac.or.jp/,Residency program,https://air-j.info/en/residence/,A,open,residencies,Japan,Not specified,unknown,,listing_url=https://air-j.info/en/residence/aireu/,2026-01-19 00:00:00
The Setagaya Art Museum×Arts Network Japan「Performance Residence in Museum 」,https://note.com/sam_anj_air/,Residency program,https://air-j.info/en/residence/,A,open,residencies,Japan,Not specified,unknown,,listing_url=https://air-j.info/en/residence/setagaya_art_museum_artsnetworkjapan/,2026-01-19 00:00:00
KIYOSHIMA Apartment,https://beppuproject.com/kiyoshima,Residency program,https://air-j.info/en/residence/,A,open,residencies,Japan,Not specified,unknown,,listing_url=https://air-j.info/en/residence/kiyoshima_apartment/,2026-01-19 00:00:00
Yanagawa City Cultural Exchange and Immigration Experience Facility “Former Watanuki Family Residence”,https://www.city.yanagawa.fukuoka.jp/rekishibunka/bunkajigyo/3558.html,Residency program,https://air-j.info/en/residence/,A,open,residencies,Japan,Not specified,unknown,,listing_url=https://air-j.info/en/residence/yanagawacity_culturalexchange/,2026-01-19 00:00:00
Katsurao AIR,http://katsurao-collective.com/,Residency program,https://air-j.info/en/residence/,A,open,residencies,Japan,Not specified,unknown,,listing_url=https://air-j.info/en/residence/katsurao-air/,2026-01-19 00:00:00
Artist-in-Residence Program “TOUCH!TOKONAME”,https://www.cross-art-tokoname.com,Residency program,https://air-j.info/en/residence/,A,open,residencies,Japan,Not specified,unknown,,listing_url=https://air-j.info/en/residence/touch_tokoname/,2026-01-19 00:00:00
STUDIO KAN,https//www.studiokan.jp,Residency program,https://air-j.info/en/residence/,A,open,residencies,Japan,Not specified,unknown,,listing_url=https://air-j.info/en/residence/studio-kan/,2026-01-19 00:00:00
