org_name,org_website,org_type,source_link,source_type,access_status,opportunity_types_offered,geographic_focus,mediums_supported,estimated_opp_count,priority,notes,date_extracted
Yellow Residency,https://yellowstudiony.com/yellow-residency/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Cross River, New York Yellow Residency Designed with artists and creative women in mind, Yellow Residency seeks to facilitate and support the art-making, writing, app-developing, poe",2026-01-19 00:00:00
2026 Design and Build Fellowship,https://moaonline.org/fellowship-call/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Greenwood Village, Colorado 2026 Design and Build Fellowship The Museum of Outdoor Arts’ Design and Build Fellow is responsible for leading our Design and Build summer internship par",2026-01-19 00:00:00
Grant Wood Fellowship,https://grantwood.uiowa.edu/fellowship,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Iowa City, Iowa Grant Wood Fellowship The Grant Wood Fellowship is a prestigious, year-long opportunity offered exclusively at the University of Iowa, designed to support bold and in",2026-01-19 00:00:00
Hambidge Center Multidisciplinary Residency,https://www.hambidge.org/guidelines-apply,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Rabun Gap, GA Hambidge Center Multidisciplinary Residency The Hambidge Center hosts the region’s oldest self-directed residency, offering private live-work studios that support unint",2026-01-19 00:00:00
The Factory on Willow Funded Artist in Residence,https://www.factoryonwillow.com/air,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Manchester, New Hampshire The Factory on Willow Funded Artist in Residence The Factory’s AIR program is designed to support emerging artists with a place to live for up to 3 months. ",2026-01-19 00:00:00
Art Omi: Artists Residencies,https://artomi.org/residencies/residency-faqs/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Ghent, New York Art Omi: Artists Residencies Art Omi supports a wide variety of artistic disciplines through five distinct residency programs. Their residencies include: visual/studi",2026-01-19 00:00:00
Creativity Grants for Projects – Maryland State Arts Council,https://msac.org/programs/creativity-grants/creativity-grants-projects,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,listing_text=Deadline: Rolling Creativity Grants for Projects – Maryland State Arts Council The Creativity Grant for Projects is available to independent artists and arts organizations. There are two options to ch,2026-01-19 00:00:00
ECRAC Resiliency Grant for Individuals,https://www.ecrac.org/grants/individual/ecrac-resiliency-grant-individuals,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling ECRAC Resiliency Grant for Individuals ""ECRAC Resiliency Grant - Supporting Artists Through Change The East Central Regional Arts Council (ECRAC) offers the Resiliency Grant to help ",2026-01-19 00:00:00
ECRAC Mid-Career Artist Grant,https://www.ecrac.org/grants/individual/ecrac-mid-career-artist-grant,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,listing_text=Deadline: Rolling Minnesota ECRAC Mid-Career Artist Grant The East Central Regional Arts Council (ECRAC) developed the Mid-Career Artist Program with McKnight Foundation funding to provide financial s,2026-01-19 00:00:00
ECRAC Essential Artist Award,https://www.ecrac.org/grants/individual/ecrac-essential-artist-award,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Minnesota ECRAC Essential Artist Award The East Central Regional Arts Council (ECRAC) Essential Artist Award program is designed with McKnight Foundation funding to recognize, reward",2026-01-19 00:00:00
Arts and Cultural Heritage Fund Grant for Artists,https://www.ecrac.org/grants/individual/arts-and-cultural-heritage-fund-grant-artists,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,listing_text=Deadline: Rolling Arts and Cultural Heritage Fund Grant for Artists The Minnesota State Arts Board and Minnesota's designated regional arts councils are entrusted with stewardship of funding through t,2026-01-19 00:00:00
ECRAC Resiliency Grants for Artists/Culture Bearers and Organizations,https://www.ecrac.org/grants-available,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling ECRAC Resiliency Grants for Artists/Culture Bearers and Organizations These grant programs are funded in part by appropriations from the Minnesota State Legislature, with money from ",2026-01-19 00:00:00
Creative Projects Grant – Illinois Arts Council Agency,https://arts.illinois.gov/granting-opportunities/grants-programs/creative-projects-grant.html,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Creative Projects Grant – Illinois Arts Council Agency The goal of the Creative Project Grant (CPG) is to provide up to $12,000 to support art projects for Illinois artists, eligible",2026-01-19 00:00:00
Emergency Relief Grant – ACA Artist Response Fund (ARF),https://artistcommunities.org/artist-response-fund?utm_source=ACA+Primary+Audience&utm_campaign=19142bea94-EMAIL_CAMPAIGN_2025_03_19_08_59_COPY_01&utm_medium=email&utm_term=0_7d87ebc76f-c0af96b425-92745391&mc_cid=19142bea94&mc_eid=d62a75ae7e,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,listing_text=Deadline: Rolling Emergency Relief Grant – ACA Artist Response Fund (ARF) This fund has been developed through years of conversations with artists and residency leaders about safety and support in res,2026-01-19 00:00:00
Screendance Faculty member at the University of Utah,https://employment.utah.edu/salt-lake-city-ut/assistantassociate-professor-of-movement-in-media-in-the-school-of-dance/CDA5E71507394D3D82ED80F986C26D56/job/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Screendance Faculty member at the University of Utah The University of Utah School of Dance and the Department of Film & Media Arts invite applicants for a full-time, tenure-line Ass",2026-01-19 00:00:00
My First Arquetopia Residency,https://www.arquetopia.org/special-themed-residency-programs,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Puebla, Mexico My First Arquetopia Residency Arquetopia’s My First Arquetopia Residency supports emerging artists ages 20–25 in defining or reframing their creative foundations throu",2026-01-19 00:00:00
Anderson Ranch Arts Center Residency,https://www.andersonranch.org/programs/artists-in-residence-program/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Snowmass Village, CO Anderson Ranch Arts Center Residency Anderson Ranch’s Artists-in-Residence Program fosters creative, intellectual and professional growth for emerging and establ",2026-01-19 00:00:00
