https://www.proyectoace.org/en/residencies/production-residencies/,org_website,org_type,source_link,source_type,access_status,opportunity_types_offered,geographic_focus,mediums_supported,estimated_opp_count,priority,notes,date_extracted
Shenandoah Literary Magazine,https://shenandoahliterary.org,Literary Magazine,https://fundsforwriters.com/grants/,A,open,fellowships,USA,literary arts,2026-01-05 00:00:00,Medium,"Fellowship for BIPOC Editors $1000, curate issue selection",2026-01-16 00:00:00
ArtsKC,https://artskc.org,Arts Council,https://fundsforwriters.com/grants/,A,open,grants,"Kansas City, USA",multidisciplinary,2026-05-10 00:00:00,Medium,Inspiration Grants for individual artists/professionals,2026-01-16 00:00:00
Durham Arts Council,https://www.durhamarts.org,Arts Council,https://fundsforwriters.com/grants/,A,open,grants,"North Carolina, USA",multidisciplinary,2026-05-10 00:00:00,Medium,"Emerging Artists Program up to $1500, pivotal career projects",2026-01-16 00:00:00
Writers Trust of Canada,https://www.writerstrust.com,Foundation,https://fundsforwriters.com/grants/,A,open,emergency grants,Canada,literary arts,2026-05-10 00:00:00,High,Woodcock Fund $2000-$10000 emergency funding for professional writers,2026-01-16 00:00:00
New Hampshire Center for the Arts,https://centerfortheartsnh.org,Arts Center,https://fundsforwriters.com/grants/,A,membership,emergency grants,"New Hampshire, USA",multidisciplinary,2026-01-05 00:00:00,Medium,Emergency Relief Fund up to $500 for members,2026-01-16 00:00:00
Arts Administrators of Color Network,https://aacnetwork.org,Nonprofit,https://fundsforwriters.com/grants/,A,open,emergency grants,USA,multidisciplinary,2026-05-10 00:00:00,Medium,Arts Leaders of Color Emergency Fund $200 micro-grants for BIPOC,2026-01-16 00:00:00
Craigardan,https://www.craigardan.org,Arts Center,https://fundsforwriters.com/grants/,A,fee-based,residencies,"New York, USA",multidisciplinary,2026-05-10 00:00:00,Low,"Residencies $250/week or $1000/month, working farm setting",2026-01-16 00:00:00
Opportunity Collaboration,https://ocimpact.com,Organization,https://fundsforwriters.com/grants/,A,open,fellowships,International,"media, journalism",2026-01-05 00:00:00,Medium,Boehm Media Fellowship for social impact media/storytelling experts,2026-01-16 00:00:00
Charles Wallace India Trust,https://www.charleswallaceindiatrust.com,Foundation,https://fundsforwriters.com/grants/,A,open,"scholarships, fellowships",India to UK,multidisciplinary,2026-01-05 00:00:00,Medium,Visiting Fellowships for Indians in early-mid career stages,2026-01-16 00:00:00
South Carolina Humanities,https://schumanities.org,Humanities Council,https://fundsforwriters.com/grants/,A,open,grants,"South Carolina, USA","research, humanities",2026-05-10 00:00:00,Medium,"Mini Grants $2000 or less, monthly deadlines",2026-01-16 00:00:00
Canada Council for the Arts,https://canadacouncil.ca,Government Body,https://fundsforwriters.com/grants/,A,open,grants,Canada,multidisciplinary,10+,High,"Research and Creation grants, Application Assistance available",2026-01-16 00:00:00
Hosking Houses Trust,https://hoskinghouses.co.uk,Foundation,https://fundsforwriters.com/grants/,A,open,residencies,UK,literary arts,2026-01-05 00:00:00,High,"Residencies with bursaries for older women writers, Stratford-upon-Avon",2026-01-16 00:00:00
Wellstone Center in the Redwoods,https://www.wellstoneredwoods.org,Arts Center,https://fundsforwriters.com/grants/,A,open,fellowships,"California, USA",journalism,1 Month,Medium,Mary C. Curtis Fellowship 2-week for African American journalist,2026-01-16 00:00:00
Greater Pittsburgh Arts Council,https://www.pittsburghartscouncil.org,Arts Council,https://fundsforwriters.com/grants/,A,open,emergency grants,"Pennsylvania, USA",multidisciplinary,2026-05-10 00:00:00,Medium,Emergency Fund up to $500 for artists/creative workers in 9 counties,2026-01-16 00:00:00
Philadelphia Writers Emergency Fund / 215 Festival,https://www.215festival.org,Organization,https://fundsforwriters.com/grants/,A,open,emergency grants,"Philadelphia area, USA",literary arts,2026-01-05 00:00:00,Medium,"Emergency fund for writers, booksellers, independent press workers",2026-01-16 00:00:00
Authors League Fund,https://authorsleaguefund.org,Foundation,https://fundsforwriters.com/grants/,A,open,emergency grants,USA,literary arts,2026-05-10 00:00:00,High,Emergency assistance since 1917 for writers in financial need,2026-01-16 00:00:00
Clayton Memorial Medical Fund,https://osfci.org/clayton,Foundation,https://fundsforwriters.com/grants/,A,open,emergency grants,"Pacific Northwest, USA",literary arts,2026-01-05 00:00:00,Medium,Medical expense assistance for SF/F/horror/mystery writers in OR/WA/ID/AK,2026-01-16 00:00:00
PEN America,https://pen.org,Nonprofit,https://fundsforwriters.com/grants/,A,open,emergency grants,USA,literary arts,2026-05-10 00:00:00,High,"Writers Emergency Fund $500-$1000, streamlined process",2026-01-16 00:00:00
SFWA (Science Fiction & Fantasy Writers),https://www.sfwa.org,Professional Organization,https://fundsforwriters.com/grants/,A,membership,emergency grants,USA,literary arts,2026-01-05 00:00:00,Medium,"Emergency Medical Fund for genre writers, short-term emergencies",2026-01-16 00:00:00
Carnegie Fund for Authors,https://www.carnegiefundforauthors.org,Foundation,https://fundsforwriters.com/grants/,A,open,emergency grants,USA,literary arts,2026-05-10 00:00:00,High,Emergency grants for published authors in financial need,2026-01-16 00:00:00
Creative Scotland,https://www.creativescotland.com,Government Body,https://fundsforwriters.com/grants/,A,open,grants,"Scotland, UK",multidisciplinary,10+,High,"Open Fund for Individuals £500-£100000, rolling deadline",2026-01-16 00:00:00
The Literary Consultancy,https://literaryconsultancy.co.uk,Literary Service,https://fundsforwriters.com/grants/,A,open,grants,UK,literary arts,2026-05-10 00:00:00,Medium,"Free Reads for low-income writers, nationally funded program",2026-01-16 00:00:00
Montana Humanities,https://www.humanitiesmontana.org,Humanities Council,https://fundsforwriters.com/grants/,A,open,grants,"Montana, USA","research, humanities",2026-05-10 00:00:00,Medium,"Opportunity Grants up to $1000, organizations only",2026-01-16 00:00:00
Casa Uno Residency,https://mostlydance.com,Arts Center,https://fundsforwriters.com/grants/,A,open,residencies,Costa Rica,multidisciplinary,2026-01-05 00:00:00,Medium,"3-week residencies, no fee, travel responsibility of artist",2026-01-16 00:00:00
Audible,https://www.audible.com/ep/audible-theater,Corporate,https://fundsforwriters.com/grants/,A,open,grants,USA,"playwriting, audio",2026-05-10 00:00:00,Medium,Emerging Playwrights Fund for audio-focused dramatic work,2026-01-16 00:00:00
Dramatists Guild Foundation,https://dramatistsguildfoundation.submittable.com,Foundation,https://fundsforwriters.com/grants/,A,open,emergency grants,USA,"theatre, playwriting",2026-05-10 00:00:00,High,"Emergency Grant, Housing Assistance Grant for dramatists",2026-01-16 00:00:00
Inevitable Foundation,https://www.wgfoundation.org/fellowship-writing-programs,Foundation,https://fundsforwriters.com/grants/,A,open,fellowships,USA,screenwriting,1 Month,High,"$25000 unrestricted for disabled screenwriters, 4-6 months support",2026-01-16 00:00:00
Washington College Starr Center,https://www.washcoll.edu/learn-by-doing/starr,Educational Institution,https://fundsforwriters.com/grants/,A,open,fellowships,"Maryland, USA","history, research",1 Month,High,"Patrick Henry History Fellowship $45000, 9-month residency",2026-01-16 00:00:00
Pulitzer Center,https://pulitzercenter.org,Foundation,https://fundsforwriters.com/grants/,A,open,grants,International,journalism,2026-01-05 00:00:00,High,Persephone Miel Fellowship $5000 for journalists outside US/Western Europe,2026-01-16 00:00:00
Wisconsin Humanities,https://wisconsinhumanities.org,Humanities Council,https://fundsforwriters.com/grants/,A,open,grants,"Wisconsin, USA","research, humanities",2026-05-10 00:00:00,Medium,Grants for Humanities Programs $2000-$10000 for nonprofits,2026-01-16 00:00:00
Fishtrap Writer-in-Residence,https://fishtrap.org/fishtrap-writer-in-residence,Arts Organization,https://fundsforwriters.com/grants/,A,open,residencies,"Oregon, USA",literary arts,1 Month,High,"6-8 weeks April-May, stipend, travel, lodging, teaching in schools",2026-01-16 00:00:00
Mississippi Arts Commission,https://arts.ms.gov,Arts Council,https://fundsforwriters.com/grants/,A,open,"grants, rosters","Mississippi, USA",multidisciplinary,2026-05-10 00:00:00,Medium,"Artist Roster 3-year term, fees paid by commission",2026-01-16 00:00:00
