org_name,org_website,org_type,source_link,source_type,access_status,opportunity_types_offered,geographic_focus,mediums_supported,estimated_opp_count,priority,notes,date_extracted
,,,,,,,,,,,,
Wales Arts International,http://www.wai.org.uk/,Organization,https://www.lairarts.com/funding-opportunities.html,C,open,"grants, travel support","Wales, International",multidisciplinary,2026-05-10 00:00:00,Medium,Worldwide section,2026-01-16 00:00:00
Convocatoria de Estímulos 2017,http://www.mincultura.gov.co/planes-y-programas/programas/programa-nacional-estimulos/Paginas/default.aspx,Government Body,https://www.lairarts.com/funding-opportunities.html,C,open,"grants, stimuli",Colombia,multidisciplinary,10+,Medium,Worldwide section,2026-01-16 00:00:00
On the Move,http://on-the-move.org/funding,Resource Center,https://www.lairarts.com/funding-opportunities.html,C,open,funding database,International,multidisciplinary,10+,High,"Worldwide section, funding resource database",2026-01-16 00:00:00
I-Portunus,https://www.i-portunus.eu/about-the-programme/general-information/,Government Body,https://www.lairarts.com/funding-opportunities.html,C,open,mobility grants,Europe,multidisciplinary,10+,High,Worldwide section,2026-01-16 00:00:00
A Room of Her Own Foundation,http://www.aroomofherownfoundation.org/,Foundation,https://www.lairarts.com/funding-opportunities.html,C,open,"grants, awards",USA,"women writers, artists",2026-01-05 00:00:00,Medium,United States section,2026-01-16 00:00:00
Adolph and Esther Gottlieb Foundation,https://www.gottliebfoundation.org/,Foundation,https://www.lairarts.com/funding-opportunities.html,C,open,"grants, emergency grants",USA,visual arts,2026-01-05 00:00:00,Medium,United States section,2026-01-16 00:00:00
Aaron Siskind Foundation,http://www.aaronsiskind.org/,Foundation,https://www.lairarts.com/funding-opportunities.html,C,open,"grants, fellowships",USA,photography,2026-01-05 00:00:00,Medium,United States section,2026-01-16 00:00:00
Artadia Awards,https://artadia.org/,Organization,https://www.lairarts.com/funding-opportunities.html,C,open,awards,USA,visual arts,2026-05-10 00:00:00,Medium,United States section,2026-01-16 00:00:00
Artist Trust,http://www.artisttrust.org/,Organization,https://www.lairarts.com/funding-opportunities.html,C,open,"grants, fellowships","Washington, USA",multidisciplinary,2026-05-10 00:00:00,Medium,United States section,2026-01-16 00:00:00
Arts Writers Grant Program,http://artswriters.org/index.php?action=home,Organization,https://www.lairarts.com/funding-opportunities.html,C,open,grants,USA,arts writing,2026-01-05 00:00:00,Medium,United States section,2026-01-16 00:00:00
Creative Capital Grants,http://creative-capital.org/,Organization,https://www.lairarts.com/funding-opportunities.html,C,open,"grants, advisory services",USA,multidisciplinary,2026-05-10 00:00:00,High,United States section,2026-01-16 00:00:00
Harpo Foundation,http://www.harpofoundation.org/,Foundation,https://www.lairarts.com/funding-opportunities.html,C,open,grants,USA,visual arts,2026-01-05 00:00:00,Medium,United States section,2026-01-16 00:00:00
Humboldt Area Foundation,http://www.hafoundation.org/,Foundation,https://www.lairarts.com/funding-opportunities.html,C,open,grants,"California, USA",multidisciplinary,2026-05-10 00:00:00,Medium,United States section,2026-01-16 00:00:00
Joan Mitchell Foundation,https://joanmitchellfoundation.org/,Foundation,https://www.lairarts.com/funding-opportunities.html,C,open,"grants, residencies",USA,visual arts,2026-05-10 00:00:00,High,United States section,2026-01-16 00:00:00
Kansas City Artists Coalition,http://www.kansascityartistscoalition.org/,Organization,https://www.lairarts.com/funding-opportunities.html,C,open,"grants, fellowships","Kansas City, USA",multidisciplinary,2026-01-05 00:00:00,Medium,United States section,2026-01-16 00:00:00
Lindbergh Foundation,http://www.lindberghfoundation.org/,Foundation,https://www.lairarts.com/funding-opportunities.html,C,open,grants,USA,environmental projects,2026-01-05 00:00:00,Low,United States section,2026-01-16 00:00:00
National Endowment for the Arts,https://www.arts.gov/,Government Body,https://www.lairarts.com/funding-opportunities.html,C,open,grants,USA,multidisciplinary,10+,High,United States section,2026-01-16 00:00:00
National Performance and Visual Artist Network,http://npnweb.org/van/,Network,https://www.lairarts.com/funding-opportunities.html,C,open,"grants, partnerships",USA,"performing arts, visual arts",2026-05-10 00:00:00,Medium,United States section,2026-01-16 00:00:00
