org_name,org_website,org_type,source_link,source_type,access_status,opportunity_types_offered,geographic_focus,mediums_supported,estimated_opp_count,priority,notes,date_extracted
100 West – Corsicana Artist & Writer Residency,http://corsicanaresidency.org,Residency program,https://resartis.org/listings/,A,open,residencies,United-States,"Visual Art, Sculpture, Printmaking, Literature, New Media, Film-making, Curatorial, Photography",unknown,,listing_url=https://resartis.org/listings/100-west-corsicana/,2026-01-19 00:00:00
18th Street Arts Center,http://www.18thstreet.org,Residency program,https://resartis.org/listings/,A,open,residencies,United-States,"Visual Art, Sculpture, Dance, Performing Arts, Music, Literature",unknown,,listing_url=https://resartis.org/listings/18th-street-arts-center/,2026-01-19 00:00:00
Casa Belgrado,https://www.casabelgrado.org,Residency program,https://resartis.org/listings/,A,open,residencies,Argentina,"Visual Art, Dance, Performing Arts, Textile Art, Music, Literature, New Media, Animations, Architecture, Curatorial, Photography",unknown,,listing_url=https://resartis.org/listings/2-casa-belgrado/,2026-01-19 00:00:00
IVYNODE,http://www.ivynode.com,Residency program,https://resartis.org/listings/,A,open,residencies,Italy,Not specified,unknown,,listing_url=https://resartis.org/listings/2-ivynode/,2026-01-19 00:00:00
Lakkos Artist Residency,http://lakkosartistsresidency.weebly.com/,Residency program,https://resartis.org/listings/,A,open,residencies,Greece,"Visual Art, Ceramics, Textile Art, Music, Literature, New Media, Film-making, Architecture",unknown,,listing_url=https://resartis.org/listings/2-lakkos-artists-residency/,2026-01-19 00:00:00
Neshat Art Residency,https://resartis.org/listings/2-neshat-art-residency-gallery/,Residency program,https://resartis.org/listings/,A,open,residencies,Iran,"Visual Art, Sculpture, Ceramics, Performing Arts, Music, Literature, New Media, Animations, Film-making, Architecture, Education Programmes, Photography",unknown,,listing_url=https://resartis.org/listings/2-neshat-art-residency-gallery/,2026-01-19 00:00:00
Marie Fol,http://.,Residency program,https://resartis.org/listings/,A,open,residencies,Not specified,Not specified,unknown,,listing_url=https://resartis.org/listings/23262227/,2026-01-19 00:00:00
2415 Art Residency,https://www.air2415.art/,Residency program,https://resartis.org/listings/,A,open,residencies,China,"Visual Art, Sculpture, Textile Art, New Media, Animations, Architecture, Curatorial, Photography, Other",unknown,,listing_url=https://resartis.org/listings/2415-space/,2026-01-19 00:00:00
Art/Work Residency,http://32MCenter.org,Residency program,https://resartis.org/listings/,A,open,residencies,United-States,"Visual Art, Literature, Education Programmes, Photography",unknown,,listing_url=https://resartis.org/listings/32m-center-for-creative-work/,2026-01-19 00:00:00
Artist in Residence,https://33oc.org/,Residency program,https://resartis.org/listings/,A,open,residencies,Italy,"Visual Art, Sculpture, Dance, Theatre, Performing Arts, Music, Literature, New Media, Animations, Film-making, Photography, Other",unknown,,listing_url=https://resartis.org/listings/33-officina-creativa/,2026-01-19 00:00:00
