org_name,org_website,org_type,source_link,source_type,access_status,opportunity_types_offered,geographic_focus,mediums_supported,estimated_opp_count,priority,notes,date_extracted
TICA,http://www.tica-albania.org,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
aria,http://ariaresidencyalgiers.wordpress.com,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Taller Radal,https://radal.ar/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Más allá de El Dorado,https://masalladeeldorado.wordpress.com/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
FotoCreativaBA,https://www.fotocreativaba.com/residencia-buenosaires,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Colectivo R.A.R.O,http://www.esraro.com,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
PAR - International Residency Program,https://www.instagram.com/par.residence/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
La Ene,http://www.laene.org,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
cheLA,https://www.chela.org.ar,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Proyecto'ace,http://www.proyectoace.org,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Mango,https://linktr.ee/mangoresidencia,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
La Ira De Dios,http://www.lairadedios.com.ar,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
proyecto PAC,http://www.proyectopac.com/art-residency.html,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Residencia Corazón Casa de Artistas,http://www.residenciacorazon.com.ar,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Today Art Initiative,https://todayart.org/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Today Art Initiative,https://todayart.weebly.com,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
NEST Art Residency,http://www.ica.am,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Art and Cultural Studies Laboratory,http://www.acsl.am,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Ateliers 89,http://www.ateliers89.com,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Blue Studio Residency,https://www.bluestudioresidency.com/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Hill End Artists in residence Program,http://www.hillendart.com.au/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Bogong Centre for Sound Culture,http://bogongsound.com.au,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Art in Motion,http://www.artinmotion.com.au,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Critical Path,http://www.criticalpath.org.au,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Mountain Seas,http://www.mountainseas.com.au/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Artsource,http://www.artsource.net.au,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Katharine Susannah Prichard Writers Center,https://www.kspwriterscentre.com/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
SymbioticA,http://www.symbiotica.uwa.edu.au,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Bundanon,http://www.bundanon.com.au,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Parramatta Artists Studios,http://www.parramattastudios.com.au/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
IASKA,http://www.iaska.com.au,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
MISTRA-EC,https://mistra.fsv.cuni.cz/air/air-usc-call,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Bilpin international ground for Creative initiatives,http://www.bigci.org,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Bruney Island Residency,http://elizabethday.com.au,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Eramboo Artist Environment,http://www.eramboo.com.au,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Warmun Regional Residency,http://www.tura.com.au/regional-residency/2011/About,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
FJs Residency,https://www.thefproject.org.au/fjresidency,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
minus20degree,https://www.m20d.eu/about,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Steirischer Herbst,http://www.steirischerherbst.at/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
mur.at - Verein zur Förderung von Netzwerkkunst,https://mur.at/post/opencall-air21/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Kultur Service Steiermark GmbH,http://www.kulturservice.steiermark.at,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
IHAG - International Writers' House Graz,http://www.kultur.graz.at/kulturamt/33,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
AIR InSILo,https://in-silo.com,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Künstlerhaus Büchsenhausen,https://www.buchsenhausen.at/fellowship-programm/call-for-application/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
ORTE Architekturnetzwerk Niederösterreich,https://orte-noe.at/en/artist-in-residence/air-and-orte,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Ars Electronica Center,https://ars.electronica.art/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Atelierhaus Salzamt Linz,http://salzamt.linz.at/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
afo architekturforum oberösterreich,https://afo.at/residency,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
RedSapata Tanzfabrik,http://www.redsapata.com,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
AIR - artists-in-residence program salzburg,http://www.stadt-salzburg.at/internet/websites/kultur/kultur/kultukontakte/air/air_allgemein/artists_in_residence_program_salzburg_315936.htm,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
subnet,http://subnet.at/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Salzburg International Summer Academy of Fine Arts,https://summeracademy.at/en/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Kunstraum Schwaz,https://www.transartists.org/en/air/kulturamt-schwaz,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page. | website_not_found_on_listing,2026-01-19 00:00:00
KinderKunstLabor,https://www.st-poelten2024.eu/de/kinderkunstlabor/aktuelles/call-researcher-in-residency-en,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
ImPulsTanz,https://www.impulstanz.com/en/atlas/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Studio Das Weisse Haus,http://www.studiodasweissehaus.at/category/current-calls/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Al Riwaq Art Space,http://www.alriwaqartspace.com/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Translators' House,https://www.literatuurvlaanderen.be/subsidies/vertalers/vertalers-uit-het-nederlands/verblijf-het-vertalershuis,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Passa Porta,https://www.passaporta.be/en/in-residence,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
HECTOLITRE,http://hectolitre.space/index.html,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Mophradat,https://mophradat.org/open-calls/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Camping Town,http://campingtownbe.wix.com/site,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Nadine,http://www.nadine.be,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Fondation Thalie,https://www.transartists.org/en/air/fondation-thalie-0,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page. | website_not_found_on_listing,2026-01-19 00:00:00
workspacebrussels,https://www.workspacebrussels.be,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Wiels,http://www.wiels.org,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
LIBITUM,https://adlibdiffusion.be/en/residencies,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Destelheide,https://www.destelheide.be/nl/creeren/artiest-in-huis-,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Timelab,http://timelab.org,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Digital Piss Factory,http://www.digitalpissfactory.net,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Kunsthal Gent,http://kunsthal.gent,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Verbeke Foundation,http://www.verbekefoundation.com,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
kunstencentrum BUDA,https://www.budakortrijk.be/en/pratical/artists-residencies,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
Designers in Residence Kortrijk,http://www.designregio-kortrijk.be/en/,,https://www.transartists.org/en/map,A,open,residencies,,,unknown,,LLM-only extraction from TransArtists map listings; org_website is TransArtists listing page.,2026-01-19 00:00:00
