org_name,org_website,org_type,source_link,source_type,access_status,opportunity_types_offered,geographic_focus,mediums_supported,estimated_opp_count,priority,notes,date_extracted
,,,,,,,,,,,,
Pew Center for Arts & Heritage,https://www.pewcenterarts.org/,Foundation,https://www.unrestrictedfunds.com/,A,open,grants,"Philadelphia, PA",multidisciplinary,2026-05-10 00:00:00,High,DirectoryDB listing,2026-01-16 00:00:00
Trans Justice Funding Project,https://www.transjusticefundingproject.org/,Organization,https://www.unrestrictedfunds.com/,A,open,grants,United States,LGBTQIA+,2026-01-05 00:00:00,Medium,DirectoryDB listing,2026-01-16 00:00:00
National Endowment for the Arts,https://www.arts.gov/,Government Body,https://www.unrestrictedfunds.com/,A,open,grants for arts projects,United States,multidisciplinary,10+,High,DirectoryDB listing,2026-01-16 00:00:00
Tegan and Sara Foundation,https://www.teganandsarafoundation.org/,Foundation,https://www.unrestrictedfunds.com/,A,open,community grants,"United States, Canada",LGBTQIA+,2026-05-10 00:00:00,Medium,DirectoryDB listing,2026-01-16 00:00:00
The Rebel Fund,https://rosarebellion.com/rebelfund,Organization,https://www.unrestrictedfunds.com/,A,open,grants,United States,creative activism,2026-01-05 00:00:00,Medium,DirectoryDB listing,2026-01-16 00:00:00
Graham Foundation,http://www.grahamfoundation.org/,Foundation,https://www.unrestrictedfunds.com/,A,open,grants,United States,"architecture, design",2026-05-10 00:00:00,High,DirectoryDB listing,2026-01-16 00:00:00
The Black-Led Movement Fund,https://borealisphilanthropy.org/,Organization,https://www.unrestrictedfunds.com/,A,open,general operating support,United States,BIPOC organizations,2026-01-05 00:00:00,Medium,DirectoryDB listing,2026-01-16 00:00:00
Mellon Foundation,https://www.mellon.org/,Foundation,https://www.unrestrictedfunds.com/,A,open,community-based archives,United States,archives,2026-05-10 00:00:00,High,DirectoryDB listing,2026-01-16 00:00:00
Dancers Group,https://dancersgroup.org/,Organization,https://www.unrestrictedfunds.com/,A,open,CA$H dance funding,"Bay Area, CA","dance, movement",2026-05-10 00:00:00,Medium,DirectoryDB listing,2026-01-16 00:00:00
Artist Trust,https://artisttrust.org/,Organization,https://www.unrestrictedfunds.com/,A,open,Arts Innovator Award,"Washington, USA",multidisciplinary,2026-05-10 00:00:00,High,DirectoryDB listing,2026-01-16 00:00:00
Kenneth Rainin Foundation,https://krfoundation.org/,Foundation,https://www.unrestrictedfunds.com/,A,open,"NEW Program, Open Spaces","Bay Area, CA",performing arts,2026-05-10 00:00:00,High,DirectoryDB listing,2026-01-16 00:00:00
Franklin Furnace,https://franklinfurnaceloft.org/,Organization,https://www.unrestrictedfunds.com/,A,open,Franklin Furnace Fund,International,performance,2026-05-10 00:00:00,Medium,DirectoryDB listing,2026-01-16 00:00:00
Adobe,https://www.adobe.com/,Corporation,https://www.unrestrictedfunds.com/,A,invitation only,Community Fund,United States,arts + tech,2026-05-10 00:00:00,Low,"DirectoryDB listing, invitation only",2026-01-16 00:00:00
Creative Capital,https://creative-capital.org/,Organization,https://www.unrestrictedfunds.com/,A,open,grants,United States,multidisciplinary,10+,High,DirectoryDB listing,2026-01-16 00:00:00
Native Arts and Cultures Foundation,https://www.nativeartsandcultures.org/,Foundation,https://www.unrestrictedfunds.com/,A,open,LIFT Early Career Support,United States,Native artists,2026-05-10 00:00:00,Medium,DirectoryDB listing,2026-01-16 00:00:00
Wilhelm Family Foundation,https://wilhelmfamilyfoundation.org/,Foundation,https://www.unrestrictedfunds.com/,A,open,grants,United States,multidisciplinary,2026-01-05 00:00:00,Medium,DirectoryDB listing,2026-01-16 00:00:00
Harpo Foundation,http://www.harpofoundation.org/,Foundation,https://www.unrestrictedfunds.com/,A,open,grants for visual artists,United States,visual arts,2026-05-10 00:00:00,Medium,DirectoryDB listing,2026-01-16 00:00:00
Kim Zin Creative,https://kimzincreative.com/,Organization,https://www.unrestrictedfunds.com/,A,open,Pa'lante Artist Grant,"Bay Area, CA",unrestricted,2026-01-05 00:00:00,Medium,DirectoryDB listing,2026-01-16 00:00:00
Robert Rauschenberg Foundation,https://www.nyfa.org/,Foundation,https://www.unrestrictedfunds.com/,A,open,Medical Emergency Grants,United States,emergency support,2026-05-10 00:00:00,High,"DirectoryDB listing, via NYFA",2026-01-16 00:00:00
Terra Foundation for American Art,https://www.terraamericanart.org/,Foundation,https://www.unrestrictedfunds.com/,A,open,exhibition grants,United States,American art,2026-05-10 00:00:00,Medium,DirectoryDB listing,2026-01-16 00:00:00
