org_name,org_website,org_type,source_link,source_type,access_status,opportunity_type,geographic_focus,mediums_supported,estimated_opp_per_year
Kala Yatra Artist Residency,https://kalayatra.org/apply-air,Arts Organization,https://artistcommunities.org/directory/residencies/kala-yatra-artist-residency-nepal-2026,residencies,open,residency,"Kathmandu, Nepal",multidisciplinary,1.0
Corsicana Artist and Writer Residency,https://www.corsicanaresidency.org/apply,Arts Organization,https://artistcommunities.org/directory/residencies/100-west-corsicana-artist-writer-residency,residencies,open,residency,"Corsicana, TX","visual arts, writing",1.0
Gibraltar Point Centre for the Arts,https://www.gibraltarpointcentre.ca/residencies,Arts Organization,https://artistcommunities.org/directory/residencies/2025-artist-writer-residencies-gibraltar-point-toronto-island,residencies,open,residency,"Toronto, ON, Canada","visual arts, writing",2026-05-10 00:00:00
Eutopia Art Residency,https://eutopiaart.com/,Arts Organization,https://artistcommunities.org/directory/residencies/2025-eutopia-art-residencies-greece,residencies,open,residency,"Kavala, Greece",multidisciplinary,1.0
Oolite Arts,https://oolitearts.org/,Arts Organization,https://artistcommunities.org/directory/residencies/2025-oolite-arts-liveinart-residency-program,residencies,open,residency,"Miami Beach, FL",multidisciplinary,10+
Eureka Springs School of the Arts,https://essa-art.org/,Arts Organization,https://artistcommunities.org/directory/residencies/2026-mentored-woodworking-residency-doug-stowe,residencies,open,residency,"Eureka Springs, AR",woodworking,1.0
Eureka Springs School of the Arts,https://essa-art.org/,Arts Organization,https://artistcommunities.org/directory/residencies/2026-springsummer-ceramics-artist-residency-program,residencies,open,residency,"Eureka Springs, AR",ceramics,1.0
Tyler School of Art and Architecture,https://tyler.temple.edu/news/2026/01/announcing-2027-edgar-heap-birds-family-artist-residency,Educational Institution,https://artistcommunities.org/directory/residencies/2027-edgar-heap-birds-family-artist-residency,residencies,open,residency,"Philadelphia, PA",multidisciplinary,1.0
Proyecto´ace,https://www.proyectoace.org/en/home-2/,Arts Organization,https://artistcommunities.org/directory/residencies/ap-residency,residencies,open,residency,"Buenos Aires, Argentina",multidisciplinary,10+
Abbey Foundation for the Arts,http://abbeyfoundationforthearts.org/,Foundation,https://artistcommunities.org/directory/residencies/abbey-foundation-studio-grant,residencies,open,residency,"Boonville, CA",visual arts,2.0
Atlantic Center for the Arts,https://atlanticcenterforthearts.org/,Arts Organization,https://artistcommunities.org/directory/residencies/aca-mentoring-artist-residency-program,residencies,open,residency,"New Smyrna Beach, FL",multidisciplinary,10+
Atlantic Center for the Arts,https://atlanticcenterforthearts.org/,Arts Organization,https://artistcommunities.org/directory/residencies/aca-residency-196-feb-8-28-2026,residencies,open,residency,"New Smyrna Beach, FL",multidisciplinary,1.0
Atlantic Center for the Arts,https://atlanticcenterforthearts.org/home/soundscape-field-station/,Arts Organization,https://artistcommunities.org/directory/residencies/aca-soundscape-field-station-canaveral-national-seashore,residencies,open,residency,"New Smyrna Beach, FL",sound art,2026-05-10 00:00:00
