org_name,org_website,org_type,source_link,source_type,access_status,opportunity_types_offered,geographic_focus,mediums_supported,estimated_opp_count,priority,notes,date_extracted
Arts Council England,https://www.artscouncil.org.uk/,Arts Council,https://www.artistsfuturesfund.org/funding-directory,A,open,"grants, residencies, awards",England,multidisciplinary,10+,High,Major national arts funder,2026-01-16 00:00:00
Creative Scotland,https://www.creativescotland.com/,Arts Council,https://www.artistsfuturesfund.org/funding-directory,A,open,"grants, fellowships, residencies",Scotland,multidisciplinary,10+,High,Major national arts funder,2026-01-16 00:00:00
Arts Council of Northern Ireland,http://artscouncil-ni.org/,Arts Council,https://www.artistsfuturesfund.org/funding-directory,A,open,"grants, fellowships, residencies",Northern Ireland,multidisciplinary,2026-05-10 00:00:00,High,Major national arts funder,2026-01-16 00:00:00
Arts Council of Wales,https://arts.wales/,Arts Council,https://www.artistsfuturesfund.org/funding-directory,A,open,"grants, fellowships",Wales,multidisciplinary,2026-05-10 00:00:00,High,Major national arts funder,2026-01-16 00:00:00
Arts & Humanities Research Council (AHRC),https://www.ukri.org/councils/ahrc/,Government Body,https://www.artistsfuturesfund.org/funding-directory,A,open,"grants, fellowships",UK,research,10+,High,Research funding body,2026-01-16 00:00:00
British Council,https://www.britishcouncil.org/,Government Body,https://www.artistsfuturesfund.org/funding-directory,A,open,"grants, residencies",Global,multidisciplinary,10+,High,Cultural exchange programs,2026-01-16 00:00:00
ACS Studio Prize,https://artistscollectingsociety.org/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,awards,"UK, EU, EEA",multidisciplinary,1.0,Medium,Studio costs support,2026-01-16 00:00:00
Anna Plowden Trust,https://www.annaplowdentrust.org.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,conservation,1.0,Medium,Conservation support,2026-01-16 00:00:00
Artcry,https://www.artcry.co.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,public art,1.0,Medium,Small grants for political artworks,2026-01-16 00:00:00
Artsadmin,https://www.artsadmin.co.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,performance,1.0,Medium,Contemporary performance practices,2026-01-16 00:00:00
The Arts Foundation Futures Award,https://artsfoundation.co.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,awards,UK,multidisciplinary,1.0,Medium,Emerging artist support,2026-01-16 00:00:00
Cockpit Awards,https://cockpitstudios.org/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,awards,London,multidisciplinary,2026-02-05 00:00:00,Medium,Business support & studio spaces,2026-01-16 00:00:00
The Craft Pottery Charitable Trust,https://www.craftpotters.com/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,ceramics,1.0,Medium,Ceramics support,2026-01-16 00:00:00
Delfina Foundation,https://www.delfinafoundation.com/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,"residencies, open calls",Global,multidisciplinary,2026-05-10 00:00:00,High,Artist residencies,2026-01-16 00:00:00
The Eaton Fund,https://eatonfund.org.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,multidisciplinary,1.0,Medium,Materials or exhibition costs,2026-01-16 00:00:00
Edge Fund,https://www.edgefund.org.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,multidisciplinary,1.0,Low,Funds grassroots groups,2026-01-16 00:00:00
The Elephant Trust,https://www.elephanttrust.org.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,multidisciplinary,1.0,Medium,New work or exhibitions,2026-01-16 00:00:00
Fenton Arts Trust,https://www.fentonartstrust.org.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,multidisciplinary,2026-02-05 00:00:00,Medium,Early career artists & academics,2026-01-16 00:00:00
Freelands Foundation,https://freelandsfoundation.co.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,"grants, fellowships, awards","UK, International",multidisciplinary,2026-05-10 00:00:00,High,"Grants, fellowships and awards",2026-01-16 00:00:00
France Brodeur Young Artist Award,https://www.warwickdc.gov.uk/,Government Body,https://www.artistsfuturesfund.org/funding-directory,A,open,awards,UK,multidisciplinary,1.0,Low,Young artists,2026-01-16 00:00:00
Gilchrist Fisher Award,https://www.gilchristfisheraward.co.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,awards,UK,multidisciplinary,1.0,Medium,Artists under 30,2026-01-16 00:00:00
The Gane Trust,https://www.ganetrust.org.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,multidisciplinary,1.0,Medium,Small grants for materials/equipment,2026-01-16 00:00:00
Golden Fleece Award,https://www.goldenfleeceaward.com/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,awards,Ireland,multidisciplinary,1.0,Medium,Irish artists,2026-01-16 00:00:00
Hand & Lock Prize,https://handembroidery.com/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,competitions,International,embroidery,1.0,Low,Embroidery prize,2026-01-16 00:00:00
Henry Moore Foundation,https://www.henry-moore.org/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,sculpture,2026-05-10 00:00:00,High,Sculpture grants,2026-01-16 00:00:00
Heritage Crafts,https://heritagecrafts.org.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,craft,2026-02-05 00:00:00,Medium,Endangered crafts support,2026-01-16 00:00:00
The Inches Carr Trust,https://www.craftscotland.org/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,awards,Scotland,multidisciplinary,1.0,Medium,Scottish artists,2026-01-16 00:00:00
International Binding Competition,https://www.societyofbookbinders.com/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,competitions,International,bookbinding,1.0,Low,Bookbinding competition,2026-01-16 00:00:00
John Moores Painting Prize,https://www.liverpoolmuseums.org.uk/,Museum,https://www.artistsfuturesfund.org/funding-directory,A,open,competitions,UK,painting,1.0,Medium,Painting competition,2026-01-16 00:00:00
LOEWE Foundation Craft Prize,https://www.loewecraftprize.com/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,competitions,International,craft,1.0,Medium,Craft prize,2026-01-16 00:00:00
The Mall Galleries,https://www.mallgalleries.org.uk/,Gallery,https://www.artistsfuturesfund.org/funding-directory,A,open,open calls,UK,fine art,2026-05-10 00:00:00,Medium,Open calls,2026-01-16 00:00:00
Maureen Duke Educational Award,https://www.societyofbookbinders.com/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,awards,UK,bookbinding,1.0,Low,Bookbinding education,2026-01-16 00:00:00
National Sculpture Prize,https://broomhill-estate.com/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,competitions,UK,sculpture,1.0,Medium,Sculpture prize,2026-01-16 00:00:00
Queen Elizabeth Scholarship Trust (QEST),https://www.qest.org.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,scholarships,UK,craft,10+,High,Craft scholarships,2026-01-16 00:00:00
Ruskin Prize,https://www.ruskinprize.co.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,competitions,UK,multidisciplinary,1.0,Medium,Art & environment,2026-01-16 00:00:00
Sculpture in the City,https://www.sculptureinthecity.org.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,open calls,UK,sculpture,1.0,Low,Public sculpture,2026-01-16 00:00:00
SPAB Fellowship,https://www.spab.org.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,fellowships,UK,conservation,1.0,Medium,Building conservation,2026-01-16 00:00:00
Stuart Croft Foundation,https://www.stuartcroftfoundation.org/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,awards,UK,moving image,1.0,Medium,New moving image works,2026-01-16 00:00:00
UK Jewellery Awards,https://awards.retail-jeweller.com/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,competitions,UK,jewellery,1.0,Low,Jewellery awards,2026-01-16 00:00:00
Visual Art Open Emerging Artist Award,https://www.visualartopen.com/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,awards,International,multidisciplinary,1.0,Medium,Emerging artists,2026-01-16 00:00:00
